,0
1232,-10.0
1233,-9.0
1234,-9.0
1235,-8.0
1236,-8.0
1237,-8.0
1238,-8.0
1239,-8.0
1240,-8.0
1241,-8.0
1242,-7.0
1243,-7.0
1244,-6.0
1245,-5.0
1246,-5.0
1247,-6.0
1248,-5.0
1249,-4.0
1250,-4.0
1251,-3.0
1252,-2.0
1253,-1.0
1254,-1.0
1255,0.0
1256,0.0
1257,0.0
1258,-1.0
1259,-2.0
1260,-2.0
1261,-2.0
1262,-2.0
1263,-3.0
1264,-3.0
1265,-3.0
1266,-3.0
1267,-3.0
1268,-3.0
1269,1.0
1270,24.0
1271,72.0
1272,119.0
1273,124.0
1274,84.0
1275,38.0
1276,9.0
1277,0.0
1278,-5.0
1279,-7.0
1280,-87.0
1281,-101.0
1282,-90.0
1283,-91.0
1284,-92.0
1285,-88.0
1286,-92.0
1287,-90.0
1288,-98.0
1289,-89.0
1290,-106.0
1291,-84.0
1292,-102.0
1293,-87.0
1294,-106.0
1295,-91.0
1296,-108.0
1297,-89.0
1298,-114.0
1299,-83.0
1300,-114.0
1301,-92.0
1302,-119.0
1303,-94.0
1304,-120.0
1305,-93.0
1306,-107.0
1307,-89.0
1308,-91.0
1309,-74.0
1310,-79.0
1311,-70.0
1312,-61.0
1313,-67.0
1314,-81.0
1315,-98.0
1316,-90.0
1317,-109.0
1318,-107.0
1319,-137.0
1320,-113.0
1321,-145.0
1322,-104.0
1323,-129.0
1324,-105.0
1325,-123.0
1326,-114.0
1327,-156.0
1328,-50.0
1329,65.0
1330,212.0
1331,165.0
1332,-70.0
1333,-237.0
1334,-213.0
1335,-135.0
1336,-111.0
1337,-110.0
1338,-132.0
1339,-114.0
1340,-134.0
1341,-110.0
1342,-122.0
1343,-99.0
1344,-136.0
1345,-101.0
1346,-124.0
1347,-93.0
1348,-117.0
1349,-92.0
1350,-102.0
1351,-72.0
1352,-85.0
1353,-69.0
1354,-70.0
1355,-50.0
1356,-46.0
1357,-30.0
1358,-34.0
1359,-32.0
1360,-34.0
1361,-40.0
1362,-38.0
1363,-55.0
1364,-49.0
1365,-90.0
1366,-72.0
1367,-108.0
1368,-82.0
1369,-112.0
1370,-85.0
1371,-114.0
1372,-88.0
1373,-112.0
1374,-93.0
1375,-108.0
1376,-87.0
1377,-104.0
1378,-89.0
1379,-101.0
1380,-85.0
1381,-94.0
1382,-97.0
1383,-92.0
1384,-103.0
1385,-98.0
1386,-114.0
1387,-91.0
1388,-110.0
1389,-88.0
1390,-107.0
1391,-92.0
1392,-122.0
1393,-89.0
1394,-109.0
1395,-93.0
1396,-117.0
1397,-92.0
1398,-112.0
1399,-103.0
1400,-101.0
1401,-104.0
1402,-81.0
1403,-85.0
1404,-79.0
1405,-94.0
1406,-53.0
1407,-67.0
1408,-56.0
1409,-97.0
1410,-79.0
1411,-106.0
1412,-94.0
1413,-133.0
1414,-113.0
1415,-138.0
1416,-108.0
1417,-124.0
1418,-108.0
1419,-118.0
1420,-124.0
1421,-132.0
1422,-130.0
1423,-39.0
1424,98.0
1425,235.0
1426,102.0
1427,-122.0
1428,-269.0
1429,-169.0
1430,-142.0
1431,-98.0
1432,-132.0
1433,-104.0
1434,-131.0
1435,-113.0
1436,-129.0
1437,-110.0
1438,-117.0
1439,-107.0
1440,-107.0
1441,-101.0
1442,-96.0
1443,-96.0
1444,-90.0
1445,-102.0
1446,-81.0
1447,-101.0
1448,-68.0
1449,-83.0
1450,-48.0
1451,-69.0
1452,-45.0
1453,-62.0
1454,-32.0
1455,-45.0
1456,-39.0
1457,-57.0
1458,-67.0
1459,-71.0
1460,-83.0
1461,-77.0
1462,-105.0
1463,-93.0
1464,-118.0
1465,-105.0
1466,-123.0
1467,-104.0
1468,-119.0
1469,-98.0
1470,-121.0
1471,-106.0
1472,-115.0
1473,-97.0
1474,-107.0
1475,-97.0
1476,-103.0
1477,-100.0
1478,-98.0
1479,-103.0
1480,-98.0
1481,-107.0
1482,-93.0
1483,-110.0
1484,-92.0
1485,-108.0
1486,-89.0
1487,-114.0
1488,-90.0
1489,-112.0
1490,-90.0
1491,-121.0
1492,-85.0
1493,-111.0
1494,-85.0
1495,-107.0
1496,-92.0
1497,-90.0
1498,-72.0
1499,-77.0
1500,-80.0
1501,-55.0
1502,-58.0
1503,-66.0
1504,-90.0
1505,-77.0
1506,-100.0
1507,-100.0
1508,-132.0
1509,-113.0
1510,-137.0
1511,-108.0
1512,-131.0
1513,-105.0
1514,-123.0
1515,-98.0
1516,-131.0
1517,-119.0
1518,-22.0
1519,117.0
1520,236.0
1521,75.0
1522,-145.0
1523,-242.0
1524,-153.0
1525,-115.0
1526,-93.0
1527,-125.0
1528,-101.0
1529,-122.0
1530,-98.0
1531,-118.0
1532,-92.0
1533,-104.0
1534,-91.0
1535,-96.0
1536,-93.0
1537,-95.0
1538,-91.0
1539,-89.0
1540,-79.0
1541,-78.0
1542,-76.0
1543,-62.0
1544,-63.0
1545,-47.0
1546,-56.0
1547,-34.0
1548,-50.0
1549,-24.0
1550,-42.0
1551,-29.0
1552,-58.0
1553,-47.0
1554,-83.0
1555,-64.0
1556,-101.0
1557,-90.0
1558,-113.0
1559,-99.0
1560,-114.0
1561,-99.0
1562,-108.0
1563,-100.0
1564,-104.0
1565,-102.0
1566,-101.0
1567,-105.0
1568,-91.0
1569,-105.0
1570,-90.0
1571,-108.0
1572,-83.0
1573,-107.0
1574,-82.0
1575,-108.0
1576,-82.0
1577,-111.0
1578,-85.0
1579,-104.0
1580,-86.0
1581,-108.0
1582,-93.0
1583,-107.0
1584,-93.0
1585,-95.0
1586,-103.0
1587,-98.0
1588,-102.0
1589,-90.0
1590,-82.0
1591,-67.0
1592,-77.0
1593,-61.0
1594,-72.0
1595,-48.0
1596,-84.0
1597,-73.0
1598,-103.0
1599,-76.0
1600,-123.0
1601,-108.0
1602,-130.0
1603,-113.0
1604,-116.0
1605,-109.0
1606,-115.0
1607,-109.0
1608,-119.0
1609,-133.0
1610,-99.0
1611,8.0
1612,159.0
1613,219.0
1614,46.0
1615,-187.0
1616,-208.0
1617,-168.0
1618,-91.0
1619,-125.0
1620,-94.0
1621,-114.0
1622,-92.0
1623,-121.0
1624,-90.0
1625,-108.0
1626,-88.0
1627,-91.0
1628,-79.0
1629,-90.0
1630,-85.0
1631,-81.0
1632,-77.0
1633,-63.0
1634,-74.0
1635,-47.0
1636,-56.0
1637,-30.0
1638,-52.0
1639,-20.0
1640,-36.0
1641,-16.0
1642,-31.0
1643,-3.0
1644,-30.0
1645,-21.0
1646,-58.0
1647,-47.0
1648,-69.0
1649,-70.0
1650,-80.0
1651,-93.0
1652,-82.0
1653,-101.0
1654,-85.0
1655,-102.0
1656,-77.0
1657,-96.0
1658,-77.0
1659,-98.0
1660,-75.0
1661,-104.0
1662,-84.0
1663,-101.0
1664,-79.0
1665,-90.0
1666,-91.0
1667,-94.0
1668,-90.0
1669,-87.0
1670,-99.0
1671,-94.0
1672,-105.0
1673,-90.0
1674,-104.0
1675,-86.0
1676,-103.0
1677,-88.0
1678,-111.0
1679,-86.0
1680,-109.0
1681,-97.0
1682,-120.0
1683,-90.0
1684,-92.0
1685,-78.0
1686,-85.0
1687,-80.0
1688,-59.0
1689,-61.0
1690,-72.0
1691,-86.0
1692,-89.0
1693,-101.0
1694,-105.0
1695,-131.0
1696,-116.0
1697,-128.0
1698,-107.0
1699,-128.0
1700,-106.0
1701,-129.0
1702,-101.0
1703,-127.0
1704,-120.0
1705,-39.0
1706,103.0
1707,233.0
1708,119.0
1709,-117.0
1710,-248.0
1711,-171.0
1712,-127.0
1713,-88.0
1714,-124.0
1715,-101.0
1716,-127.0
1717,-101.0
1718,-108.0
1719,-96.0
1720,-109.0
1721,-101.0
1722,-107.0
1723,-94.0
1724,-88.0
1725,-92.0
1726,-79.0
1727,-92.0
1728,-68.0
1729,-88.0
1730,-61.0
1731,-76.0
1732,-33.0
1733,-56.0
1734,-32.0
1735,-46.0
1736,-29.0
1737,-35.0
1738,-26.0
1739,-38.0
1740,-42.0
1741,-61.0
1742,-71.0
1743,-71.0
1744,-91.0
1745,-83.0
1746,-105.0
1747,-90.0
1748,-110.0
1749,-75.0
1750,-109.0
1751,-85.0
1752,-105.0
1753,-83.0
1754,-100.0
1755,-90.0
1756,-98.0
1757,-88.0
1758,-87.0
1759,-87.0
1760,-81.0
1761,-99.0
1762,-83.0
1763,-98.0
1764,-78.0
1765,-108.0
1766,-77.0
1767,-105.0
1768,-80.0
1769,-103.0
1770,-93.0
1771,-102.0
1772,-92.0
1773,-100.0
1774,-96.0
1775,-101.0
1776,-107.0
1777,-91.0
1778,-101.0
1779,-78.0
1780,-86.0
1781,-61.0
1782,-76.0
1783,-57.0
1784,-67.0
1785,-44.0
1786,-79.0
1787,-78.0
1788,-100.0
1789,-96.0
1790,-118.0
1791,-114.0
1792,-121.0
1793,-121.0
1794,-113.0
1795,-120.0
1796,-108.0
1797,-122.0
1798,-113.0
1799,-149.0
1800,-84.0
1801,10.0
1802,175.0
1803,209.0
1804,5.0
1805,-201.0
1806,-205.0
1807,-163.0
1808,-99.0
1809,-124.0
1810,-110.0
1811,-124.0
1812,-102.0
1813,-123.0
1814,-109.0
1815,-107.0
1816,-110.0
1817,-97.0
1818,-109.0
1819,-87.0
1820,-109.0
1821,-82.0
1822,-100.0
1823,-76.0
1824,-89.0
1825,-61.0
1826,-75.0
1827,-53.0
1828,-65.0
1829,-42.0
1830,-61.0
1831,-38.0
1832,-47.0
1833,-34.0
1834,-50.0
1835,-58.0
1836,-62.0
1837,-84.0
1838,-85.0
1839,-98.0
1840,-94.0
1841,-108.0
1842,-96.0
1843,-116.0
1844,-100.0
1845,-117.0
1846,-100.0
1847,-120.0
1848,-92.0
1849,-118.0
1850,-93.0
1851,-110.0
1852,-97.0
1853,-108.0
1854,-97.0
1855,-101.0
1856,-91.0
1857,-95.0
1858,-89.0
1859,-97.0
1860,-105.0
1861,-101.0
1862,-103.0
1863,-93.0
1864,-112.0
1865,-94.0
1866,-114.0
1867,-90.0
1868,-110.0
1869,-83.0
1870,-110.0
1871,-88.0
1872,-111.0
1873,-82.0
1874,-90.0
1875,-67.0
1876,-74.0
1877,-52.0
1878,-56.0
1879,-54.0
1880,-80.0
1881,-74.0
1882,-93.0
1883,-98.0
1884,-110.0
1885,-120.0
1886,-106.0
1887,-117.0
1888,-107.0
1889,-113.0
1890,-97.0
1891,-115.0
1892,-108.0
1893,-123.0
1894,-7.0
1895,113.0
1896,245.0
1897,71.0
1898,-131.0
1899,-250.0
1900,-146.0
1901,-104.0
1902,-89.0
1903,-125.0
1904,-100.0
1905,-107.0
1906,-95.0
1907,-104.0
1908,-96.0
1909,-95.0
1910,-89.0
1911,-89.0
1912,-96.0
1913,-78.0
1914,-87.0
1915,-73.0
1916,-83.0
1917,-56.0
1918,-79.0
1919,-39.0
1920,-56.0
1921,-23.0
1922,-49.0
1923,-15.0
1924,-31.0
1925,-13.0
1926,-34.0
1927,-24.0
1928,-41.0
1929,-39.0
1930,-59.0
